Play,Type,PlayerLinenumber,ActSceneLine,Player,PlayerLine
Alls well that ends well,Comedy,25,1.1.71,BERTRAM,[To HELENA]  The best wishes that can be forged in
Alls well that ends well,Comedy,25,1.1.72,BERTRAM,your thoughts be servants to you! Be comfortable
Alls well that ends well,Comedy,25,1.1.73,BERTRAM,"to my mother, your mistress, and make much of her."
Alls well that ends well,Comedy,26,1.1.74,LAFEU,"Farewell, pretty lady: you must hold the credit of"
Alls well that ends well,Comedy,26,1.1.75,LAFEU,your father.
Alls well that ends well,Comedy,27,1.1.76,HELENA,"O, were that all! I think not on my father,"
Alls well that ends well,Comedy,27,1.1.77,HELENA,And these great tears grace his remembrance more
Alls well that ends well,Comedy,27,1.1.78,HELENA,Than those I shed for him. What was he like?
Alls well that ends well,Comedy,27,1.1.79,HELENA,I have forgot him: my imagination
Alls well that ends well,Comedy,27,1.1.80,HELENA,Carries no favour in't but Bertram's.
Alls well that ends well,Comedy,27,1.1.81,HELENA,"I am undone: there is no living, none,"
Alls well that ends well,Comedy,27,1.1.82,HELENA,If Bertram be away. 'Twere all one
Alls well that ends well,Comedy,27,1.1.83,HELENA,That I should love a bright particular star
Alls well that ends well,Comedy,27,1.1.84,HELENA,"And think to wed it, he is so above me:"
Alls well that ends well,Comedy,27,1.1.85,HELENA,In his bright radiance and collateral light
Alls well that ends well,Comedy,27,1.1.86,HELENA,"Must I be comforted, not in his sphere."
Alls well that ends well,Comedy,27,1.1.87,HELENA,The ambition in my love thus plagues itself:
Alls well that ends well,Comedy,27,1.1.88,HELENA,The hind that would be mated by the lion
Alls well that ends well,Comedy,27,1.1.89,HELENA,"Must die for love. 'Twas pretty, though plague,"
Alls well that ends well,Comedy,27,1.1.90,HELENA,"To see him every hour, to sit and draw"
Alls well that ends well,Comedy,27,1.1.91,HELENA,"His arched brows, his hawking eye, his curls,"
Alls well that ends well,Comedy,27,1.1.92,HELENA,"In our heart's table, heart too capable"
Alls well that ends well,Comedy,27,1.1.93,HELENA,Of every line and trick of his sweet favour:
Alls well that ends well,Comedy,27,1.1.94,HELENA,"But now he's gone, and my idolatrous fancy"
Alls well that ends well,Comedy,27,1.1.95,HELENA,Must sanctify his reliques. Who comes here?
Alls well that ends well,Comedy,27,1.1.96,HELENA,"One that goes with him: I love him for his sake,"
Alls well that ends well,Comedy,27,1.1.97,HELENA,"And yet I know him a notorious liar,"
Alls well that ends well,Comedy,27,1.1.98,HELENA,"Think him a great way fool, solely a coward,"
Alls well that ends well,Comedy,27,1.1.99,HELENA,"Yet these fixed evils sit so fit in him,"
Alls well that ends well,Comedy,27,1.1.100,HELENA,"That they take place, when virtue's steely bones"
Alls well that ends well,Comedy,27,1.1.101,HELENA,"Look bleak i' the cold wind: withal, full oft we see"
Alls well that ends well,Comedy,27,1.1.102,HELENA,Cold wisdom waiting on superfluous folly.
Alls well that ends well,Comedy,28,1.1.103,PAROLLES,"Save you, fair queen!"
Alls well that ends well,Comedy,29,1.1.104,HELENA,"And you, monarch!"
Alls well that ends well,Comedy,30,1.1.105,PAROLLES,No.
Alls well that ends well,Comedy,31,1.1.106,HELENA,And no.
Alls well that ends well,Comedy,32,1.1.107,PAROLLES,Are you meditating on virginity?
Alls well that ends well,Comedy,33,1.1.108,HELENA,Ay. You have some stain of soldier in you: let me
Alls well that ends well,Comedy,33,1.1.109,HELENA,"ask you a question. Man is enemy to virginity, how"
Alls well that ends well,Comedy,33,1.1.110,HELENA,may we barricado it against him?
Alls well that ends well,Comedy,34,1.1.111,PAROLLES,Keep him out.
Alls well that ends well,Comedy,35,1.1.112,HELENA,"But he assails, and our virginity, though valiant,"
Alls well that ends well,Comedy,35,1.1.113,HELENA,in the defence yet is weak: unfold to us some
Alls well that ends well,Comedy,35,1.1.114,HELENA,warlike resistance.
Alls well that ends well,Comedy,36,1.1.115,PAROLLES,"There is none: man, sitting down before you, will"
Alls well that ends well,Comedy,36,1.1.116,PAROLLES,undermine you and blow you up.
Alls well that ends well,Comedy,37,1.1.117,HELENA,Bless our poor virginity from underminers and
Alls well that ends well,Comedy,37,1.1.118,HELENA,"blowers up! Is there no military policy, how"
Alls well that ends well,Comedy,37,1.1.119,HELENA,virgins might blow up men?
Alls well that ends well,Comedy,38,1.1.120,PAROLLES,"Virginity being blown down, man will quicklier be"
Alls well that ends well,Comedy,38,1.1.121,PAROLLES,"blown up: marry, in blowing him down again, with"
Alls well that ends well,Comedy,38,1.1.122,PAROLLES,"the breach yourselves made, you lose your city. It"
Alls well that ends well,Comedy,38,1.1.123,PAROLLES,is not politic in the commonwealth of nature to
Alls well that ends well,Comedy,38,1.1.124,PAROLLES,preserve virginity. Loss of virginity is rational
Alls well that ends well,Comedy,38,1.1.125,PAROLLES,increase and there was never virgin got till
Alls well that ends well,Comedy,38,1.1.126,PAROLLES,virginity was first lost. That you were made of is
Alls well that ends well,Comedy,38,1.1.127,PAROLLES,metal to make virgins. Virginity by being once lost
Alls well that ends well,Comedy,38,1.1.128,PAROLLES,"may be ten times found, by being ever kept, it is"
Alls well that ends well,Comedy,38,1.1.129,PAROLLES,"ever lost: 'tis too cold a companion, away with 't!"
Alls well that ends well,Comedy,39,1.1.130,HELENA,"I will stand for 't a little, though therefore I die a virgin."
Alls well that ends well,Comedy,40,1.1.131,PAROLLES,"There's little can be said in 't, 'tis against the"
Alls well that ends well,Comedy,40,1.1.132,PAROLLES,"rule of nature. To speak on the part of virginity,"
Alls well that ends well,Comedy,40,1.1.133,PAROLLES,"is to accuse your mothers, which is most infallible"
Alls well that ends well,Comedy,40,1.1.134,PAROLLES,disobedience. He that hangs himself is a virgin:
Alls well that ends well,Comedy,40,1.1.135,PAROLLES,virginity murders itself and should be buried in
Alls well that ends well,Comedy,40,1.1.136,PAROLLES,"highways out of all sanctified limit, as a desperate"
Alls well that ends well,Comedy,40,1.1.137,PAROLLES,"offendress against nature. Virginity breeds mites,"
Alls well that ends well,Comedy,40,1.1.138,PAROLLES,"much like a cheese, consumes itself to the very"
Alls well that ends well,Comedy,40,1.1.139,PAROLLES,"paring, and so dies with feeding his own stomach."
Alls well that ends well,Comedy,40,1.1.140,PAROLLES,"Besides, virginity is peevish, proud, idle, made of"
Alls well that ends well,Comedy,40,1.1.141,PAROLLES,"self-love, which is the most inhibited sin in the"
Alls well that ends well,Comedy,40,1.1.142,PAROLLES,"canon. Keep it not, you cannot choose but loose"
Alls well that ends well,Comedy,40,1.1.143,PAROLLES,by't: out with 't! within ten year it will make
Alls well that ends well,Comedy,40,1.1.144,PAROLLES,"itself ten, which is a goodly increase, and the"
Alls well that ends well,Comedy,40,1.1.145,PAROLLES,principal itself not much the worse: away with 't!
Alls well that ends well,Comedy,41,1.1.146,HELENA,"How might one do, sir, to lose it to her own liking?"
Alls well that ends well,Comedy,42,1.1.147,PAROLLES,"Let me see: marry, ill, to like him that ne'er it"
Alls well that ends well,Comedy,42,1.1.148,PAROLLES,likes. 'Tis a commodity will lose the gloss with
Alls well that ends well,Comedy,42,1.1.149,PAROLLES,"lying, the longer kept, the less worth: off with 't"
Alls well that ends well,Comedy,42,1.1.150,PAROLLES,"while 'tis vendible, answer the time of request."
Alls well that ends well,Comedy,42,1.1.151,PAROLLES,"Virginity, like an old courtier, wears her cap out"
Alls well that ends well,Comedy,42,1.1.152,PAROLLES,"of fashion: richly suited, but unsuitable: just"
Alls well that ends well,Comedy,42,1.1.153,PAROLLES,"like the brooch and the tooth-pick, which wear not"
Alls well that ends well,Comedy,42,1.1.154,PAROLLES,now. Your date is better in your pie and your
Alls well that ends well,Comedy,42,1.1.155,PAROLLES,"porridge than in your cheek, and your virginity,"
Alls well that ends well,Comedy,42,1.1.156,PAROLLES,"your old virginity, is like one of our French"
Alls well that ends well,Comedy,42,1.1.157,PAROLLES,"withered pears, it looks ill, it eats drily, marry,"
Alls well that ends well,Comedy,42,1.1.158,PAROLLES,"'tis a withered pear, it was formerly better,"
Alls well that ends well,Comedy,42,1.1.159,PAROLLES,"marry, yet 'tis a withered pear: will you anything with it?"
Alls well that ends well,Comedy,43,1.1.160,HELENA,Not my virginity yet [         ]
Alls well that ends well,Comedy,43,1.1.161,HELENA,"There shall your master have a thousand loves,"
Alls well that ends well,Comedy,43,1.1.162,HELENA,"A mother and a mistress and a friend,"
Alls well that ends well,Comedy,43,1.1.163,HELENA,"A phoenix, captain and an enemy,"
Alls well that ends well,Comedy,43,1.1.164,HELENA,"A guide, a goddess, and a sovereign,"
Alls well that ends well,Comedy,43,1.1.165,HELENA,"A counsellor, a traitress, and a dear,"
Alls well that ends well,Comedy,43,1.1.166,HELENA,"His humble ambition, proud humility,"
Alls well that ends well,Comedy,43,1.1.167,HELENA,"His jarring concord, and his discord dulcet,"
Alls well that ends well,Comedy,43,1.1.168,HELENA,"His faith, his sweet disaster, with a world"
Alls well that ends well,Comedy,43,1.1.169,HELENA,"Of pretty, fond, adoptious christendoms,"
Alls well that ends well,Comedy,43,1.1.170,HELENA,That blinking Cupid gossips. Now shall he--
Alls well that ends well,Comedy,43,1.1.171,HELENA,I know not what he shall. God send him well!
Alls well that ends well,Comedy,43,1.1.172,HELENA,"The court's a learning place, and he is one--"
